-able	 V. -ble.
faltante	1. adj. Que falta (‖ no está donde debería). U. t. c. s.
faltar	 De falta. 1. intr. Dicho de una cualidad o de una circunstancia: No existir en lo que debiera tenerla. 2. intr. Consumirse, acabar, fallecer. 3. intr. fallar (‖ no responder como se espera). 4. intr. No acudir a una cita u obligación. 5. intr. Dicho de una persona o de una cosa: Estar ausente del lugar en que suele estar. Antonio falta de su casa desde hace un mes. 6. intr. Dicho de una persona o de una cosa: No estar donde debería. 7. intr. Dicho de una persona: No corresponder a lo que es, o no cumplir con lo que debe. Faltó a la lealtad, a la nobleza. 8. intr. Dejar de asistir a alguien. 9. intr. Tratar con desconsideración o sin el debido respeto a alguien. 10. intr. Tener que transcurrir el tiempo que se indica para que se realice algo. Faltan dos meses para las vacaciones. 11. intr. desus. carecer. No faltaron de ánimo. eso faltaba, o faltaría 1. exprs. no faltaba más (‖ para rechazar una proposición). faltar poco para algo 1. loc. verb. Estar a punto de suceder algo o de acabar una acción. Falta poco para terminarse el año. Falta poco para llenarse el estanque. faltaría más 1. expr. no faltaba más. no faltaba más 1. expr. U. para rechazar una proposición por absurda o inadmisible. 2. expr. U. para manifestar la disposición favorable al cumplimiento de lo que se ha requerido. no faltaba más sino que 1. expr. U. para encarecer lo extremadamente desagradable, extraño o increíble que sería algo.
falte	 1. m. Chile. buhonero (‖ hombre que vende buhonerías).
faltista	1. m. y f. El Salv., Hond. y Méx. Persona que falta con frecuencia a la escuela o al trabajo.
falto	ta  De faltar. 1. adj. Defectuoso o necesitado de algo. 2. adj. Escaso, mezquino, apocado. 3. adj. And., El Salv. y Hond. Tonto o medio tonto.
faltoso	sa 1. adj. coloq. Que no tiene cabales sus facultades, falto de juicio. 2. adj. desus. Falto, necesitado.
faltrero	ra Cf. faltriquera. 1. m. y f. p. us. Ladrón, ratero.
faltriquera	Del mozár. *ḥaṭrikáyra 'lugar para bagatelas'. 1. f. Bolsillo de las prendas de vestir. 2. f. Bolsa de tela que se ata a la cintura y se lleva colgando bajo la vestimenta. 3. f. cubillo (‖ aposento de los antiguos teatros de Madrid). rascar, o rascarse, alguien la faltriquera 1. locs. verbs. coloqs. Soltar dinero, gastar, comúnmente de mala gana. tener alguien en la faltriquera a otra persona 1. loc. verb. coloq. tener en el bolsillo. huevo de faltriquera
faltón	na 1. adj. coloq. Que falta con frecuencia a sus obligaciones, promesas o citas. 2. adj. coloq. Que falta u ofende al hablar. U. t. c. s. 3. adj. coloq. Col. Dicho de una persona: Que no cumple las normas. U. t. c. s.
faluca	Quizá del ár. *falūkah. 1. f. desus. falúa.
falucho	De faluca. 1. m. Embarcación costanera con una vela latina. 2. m. Arg. Sombrero de dos picos y ala abarquillada que usaban los jefes militares y los diplomáticos en las funciones de gala. 3. m. Bol. arracada.
falárica	Del lat. falarĭca. 1. f. Antigua lanza arrojadiza provista, generalmente, de materia inflamable.
falócrata	De falo y ‒́crata. 1. adj. Partidario de la falocracia. Apl. a pers., u. t. c. s.
falúa	Quizá del ár. *falūkah. 1. f. Embarcación ligera, alargada y estrecha, utilizada generalmente en los puertos y en los ríos.
fama	Del lat. fama. 1. f. Condición de famoso. No hay que confundir la fama con el éxito. Un arquitecto de fama universal. 2. f. Opinión que la gente tiene de alguien o de algo. Los dos hermanos tienen fama de luchadores. 3. f. Buena opinión que la gente tiene de alguien o de algo. Un escándalo manchó la fama de la institución. 4. f. Noticia extendida acerca de algo. echar fama 1. loc. verb. desus. Divulgar alguna noticia. ser fama 1. loc. verb. Decirse, saberse. pública voz y fama
fambre	Del lat. vulg. *famen, -ĭnis, por fames. 1. f. desus. hambre.
fame	Del lat. fames. 1. f. desus. hambre.
familia	Del lat. familia. 1. f. Grupo de personas emparentadas entre sí que viven juntas. 2. f. Conjunto de ascendientes, descendientes, colaterales y afines de un linaje. 3. f. Hijos o descendencia. Está casado, pero no tiene familia. 4. f. Conjunto de personas que comparten alguna condición, opinión o tendencia. Toda la familia universitaria está de enhorabuena. 5. f. Conjunto de objetos que presentan características comunes que lo diferencian de otros. La familia de los instrumentos de cuerda. 6. f. Cuerpo de una orden o de una comunidad religiosa. La familia carmelita. 7. f. coloq. Grupo de personas relacionadas por amistad o trato. 8. f. Biol. Taxón constituido por varios géneros naturales que poseen gran número de caracteres comunes. La familia de las rosáceas. 9. f. Chile. Enjambre de abejas. 10. f. p. us. Conjunto de criados de alguien, aunque no vivan dentro de su casa. familia de lenguas 1. f. Ling. Conjunto de lenguas que derivan de una misma lengua. La familia de lenguas románicas. familia de palabras, o familia léxica 1. f. Ling. paradigma derivativo. cargar, o cargarse, de familia 1. locs. verbs. coloqs. Tener muchos hijos. de buena familia 1. loc. adj. Dicho de una persona: De antepasados que gozan de respeto y estimación social. en familia 1. loc. adv. Sin gente extraña, en la intimidad. 2. loc. adv. Con pocas personas. abandono de familia consejo de familia hijo de familia libro de familia madre de familia madre de familias médico de familia padre de familia padre de familias
familiar	Del lat. familiāris. 1. adj. Perteneciente o relativo a la familia. Una costumbre familiar. 2. adj. Conocido previamente. Su cara me es muy familiar. 3. adj. Dicho del trato: Llano y sin ceremonia. 4. adj. Dicho de una palabra, de una frase, del lenguaje, del estilo, etc.: Natural, sencillo y propio de la conversación normal y corriente. 5. adj. Dicho del envase de un producto comercial: Que tiene un tamaño superior al normal y resulta, generalmente, más económico. 6. adj. Dicho de un vehículo, especialmente de un coche: De gran capacidad y con el portaequipajes trasero incorporado al habitáculo. 7. adj. Dicho de un rasgo normal o patológico: Que se repite dentro de una familia. 8. m. y f. Pariente o deudo de una persona. 9. m. Eclesiástico o seglar que acompaña o asiste a un obispo. 10. m. Sirviente de la comunidad de un colegio. 11. m. Ministro del antiguo tribunal eclesiástico de la Inquisición que estaba presente en los prendimientos y en otras misiones. 12. m. En la orden militar de Alcántara, hombre que por afecto y devoción era admitido en ella, ofreciendo gratuitamente, de presente o futuro, el todo o parte de sus bienes. 13. m. Persona que tomaba la insignia o hábito de una religión, como los hermanos de la orden tercera. 14. m. Demonio que se suponía tenía trato con una persona a la que acompañaba y servía. 15. m. Persona que tiene trato frecuente y de confianza con alguien. 16. m. desus. Criado doméstico. demonios familiares
familiaridad	Del lat. familiarĭtas, -ātis. 1. f. Llaneza, sencillez y confianza en el trato. 2. f. Contacto habitual o conocimiento profundo. Es admirable su familiaridad con la literatura clásica. 3. f. Facilidad, naturalidad, desenvoltura. Se movía con familiaridad en aquella casa. 4. f. pl. Gestos o actitudes de confianza excesiva o inapropiada en el trato. No me agradan esas familiaridades.
familiarizar	 1. tr. Hacer que algo pase a ser familiar o común para alguien. Familiarizar a los jóvenes con los autores clásicos. 2. prnl. Introducirse y acomodarse al trato familiar de alguien. 3. prnl. adaptarse (‖ acomodarse). Familiarizarse con el peligro.
familiarmente	1. adv. Con familiaridad o confianza.
familiatura	1. f. Empleo o título de familiar del antiguo tribunal eclesiástico de la Inquisición. 2. f. Empleo de familiar o de fámulo en un colegio. 3. f. En algunas órdenes, hermandad que alguien tenía con ellas.
familio	1. m. desus. familiar (‖ criado).
familión	1. m. Familia numerosa.
famillo	1. m. desus. familiar (‖ criado).
famosamente	1. adv. p. us. De manera famosa. 2. adv. p. us. Excelentemente, muy bien.
famoseo	1. m. despect. coloq. Esp. Conjunto de gente famosa o de personas que buscan la fama a toda costa apareciendo en los medios de comunicación.
famoso	sa Del lat. famōsus. 1. adj. Ampliamente conocido. Comedia famosa. Ladrón famoso. U. t. c. s. Reunión de famosos. 2. adj. Muy conocido y admirado por su excelencia. Un arquitecto famoso. 3. adj. coloq. Sobradamente conocido y recordado en un determinado ámbito. ¿Os acordáis de las famosas cartas que nunca aparecieron?
famular	Del lat. famulāris. 1. adj. coloq. Perteneciente o relativo a los fámulos.
famulato	Del lat. famulātus. 1. m. Ocupación y ejercicio del criado o sirviente. 2. m. servidumbre (‖ conjunto de personas del servicio doméstico).
famulicio	Del lat. famulitium. 1. m. famulato.
famélico	ca Del lat. famelĭcus. 1. adj. hambriento. 2. adj. Muy delgado, con aspecto de pasar hambre.
fan	Del ingl. fan, acort. de fanatic. 1. m. y f. Admirador o seguidor de alguien. 2. m. y f. Entusiasta de algo. Es un fan de la ópera.
fanal	Del it. fanale, y este del gr. φανάριον phanárion. 1. m. Farol grande que se coloca en las torres de los puertos para que su luz sirva de señal nocturna. 2. m. Campana transparente, por lo común de cristal, que sirve para que el aire no apague la luz puesta dentro de ella o para atenuar y matizar el resplandor. 3. m. Campana de cristal cerrada por arriba, que sirve para resguardar del polvo lo que se cubre con ella. 4. m. Cada una de las grandes lámparas que usan ciertas embarcaciones de pesca para atraer a los peces. 5. m. Cada uno de los grandes faroles que, colocados en la popa de los buques, servían como insignia de mando.
fanaticada	De fanático y -ada. 1. f. Cuba, Ec., El Salv., Hond. y R. Dom. hinchada.
fanatismo	Del fr. fanatisme, y este de la raíz de fanatique 'fanático' e -isme. 1. m. Apasionamiento y tenacidad desmedida en la defensa de creencias u opiniones, especialmente religiosas o políticas.
fanatizador	ra 1. adj. Que fanatiza. U. t. c. s.
fanatizar	 Del fr. fanatiser. 1. tr. Provocar o causar fanatismo.
fandango	De or. inc. 1. m. Antiguo baile español, ejecutado con acompañamiento de canto, guitarra, castañuelas y hasta de platillos y violín, a tres tiempos y con movimiento vivo y apasionado. 2. m. Música y letra del fandango. 3. m. Variedad andaluza del fandango. 4. m. Palo flamenco con que se acompaña el fandango andaluz. 5. m. coloq. Bullicio, trapatiesta. 6. m. eufem. coloq. El Salv. trasero (‖ nalgas).
fandanguero	ra 1. adj. Aficionado a bailar el fandango. U. t. c. s. 2. adj. Aficionado a asistir a bailes y festejos. U. t. c. s.
fandanguillo	1. m. Palo flamenco en compás de tres por ocho, parecido al fandango. 2. m. Baile que se ejecuta al compás del fandanguillo.
fandulario	1. m. faldulario.
faneca	De or. inc. 1. f. Pez teleósteo marino de hasta 30 cm de longitud, de color parduzco en el lomo y blanco por el vientre, con tres aletas dorsales, dos ventrales y las abdominales por delante de las torácicas.
fanega	Del ár. hisp. faníqa 'medida de áridos', y este del ár. clás. fanīqah 'saco para acarrear tierra'. 1. f. Medida de capacidad para áridos que, según el marco de Castilla, tiene 12 celemines y equivale a 55,5 l, pero es muy variable según las diversas regiones de España. 2. f. Porción de granos, legumbres, semillas o cosas semejantes que cabe en una fanega. fanega de puño, o fanega de sembradura 1. f. Espacio de tierra en que se puede sembrar una fanega de trigo. fanega de tierra 1. f. Medida agraria que, según el marco de Castilla, contiene 576 estadales cuadrados y equivale a 64,596 áreas, pero varía según las regiones.
fanegada	1. f. fanega de tierra. a fanegadas 1. loc. adv. coloq. Con mucha abundancia.
faneguero	1. m. Hombre que cobraba en renta gran cantidad de fanegas de grano.
fanera	Del fr. phanère, y este del gr. φανερός phanerós 'visible'. 1. f. Med. Estructura visible aneja a la piel, como los pelos y las uñas. U. m. en pl.
fanerozoico	Del ingl. Phanerozoic, y este del gr. φανερός phanerós 'visible', 'evidente', zoo- 'zoo-' e -ic '‒́ico'. eón fanerozoico
fanerógamo	ma Del gr. φανερός phanerós 'manifiesto' y ‒́gamo. 1. adj. Bot. Dicho de una planta: Que tiene el conjunto de los órganos de la reproducción visible en forma de flor, en la que se efectúa la fecundación, como consecuencia de la cual se desarrollan las semillas, que contienen los embriones de las nuevas plantas. U. t. c. s. f., en pl. como taxón.
fanesca	1. f. Ec. Guiso que se toma especialmente en Viernes Santo, consistente en pescado, granos tiernos, leche y huevo, acompañado de plátano frito y otros aderezos.
fanfarrear	 De la onomat. fanfarr y -ear. 1. intr. fanfarronear.
fanfarria	De fanfarrear. 1. f. Conjunto musical ruidoso, principalmente a base de instrumentos de metal. 2. f. Música interpretada por una fanfarria. 3. f. coloq. Baladronada, bravata, jactancia. 4. m. Ar. Persona que se precia y hace alarde de valentía o de otros valores.
fanfarronada	1. f. Dicho o hecho propio de los fanfarrones.
fanfarronear	 De fanfarrón y -ear. 1. intr. Hablar con arrogancia echando fanfarronadas.
fanfarronería	1. f. Modo de hablar y de portarse los fanfarrones. 2. f. Dicho o hecho propio de los fanfarrones.
fanfarronesca	1. f. p. us. Porte, conducta y ejercicio de los fanfarrones.
fanfarrón	na Quizá del ár. hisp. *farfál o *farfár, y este der. del ár. clás. farfara 'romper, desgarrar'. 1. adj. Que se precia y hace alarde de lo que no es, y en particular de valiente. U. t. c. s. 2. adj. Dicho de una cosa: Que tiene mucha apariencia y hojarasca. trigo fanfarrón
fanfurriña	1. f. coloq. Enojo leve y pasajero.
fang	1. adj. pamue. U. t. c. s.
fangal	1. m. Sitio lleno de fango.
fangar	1. m. p. us. fangal.
fango	Del cat. fang. 1. m. Lodo glutinoso que se forma generalmente con los sedimentos térreos en los sitios donde hay agua detenida. 2. m. Vilipendio, degradación. Llenar o cubrir a alguien de fango.
fangosidad	1. f. Cualidad de fangoso.
fangoso	sa 1. adj. Lleno de fango. 2. adj. Que tiene la blandura y viscosidad propias del fango.
fanguero	1. m. Cuba. fangal. 2. m. coloq. Cuba. charquero.
fano	Del lat. fanum. 1. m. desus. templo.
fantasear	 1. tr. Imaginar algo con la fantasía. Fantaseaba que estaba con ella. 2. intr. Dejar correr la fantasía o la imaginación.
fantasioso	sa De fantasía 'presunción'. 1. adj. Que se deja llevar por una imaginación carente de fundamento. U. t. c. s. 2. adj. coloq. Vano, presuntuoso.
fantasma	Del lat. phantasma, y este del gr. φάντασμα phántasma. 1. m. Imagen de un objeto que queda impresa en la fantasía. 2. m. Visión quimérica como la que se da en los sueños o en las figuraciones de la imaginación. 3. m. Imagen de una persona muerta que, según algunos, se aparece a los vivos. 4. m. Espantajo o persona disfrazada que sale por la noche para asustar a la gente. Era u. t. c. f. 5. m. Persona envanecida y presuntuosa. U. t. c. adj. 6. m. Amenaza de un riesgo inminente o temor de que sobrevenga. El fantasma de la sequía. 7. m. Aquello que es inexistente o falso. U. en apos. Una venta fantasma. Un éxito fantasma. 8. m. Población no habitada. U. en apos. Ciudad, pueblo fantasma.
fantasmada	1. f. coloq. Dicho o hecho propio de un fantasma (‖ persona envanecida).
fantasmagoría	Del fr. fantasmagorie. 1. f. Arte de representar figuras por medio de una ilusión óptica. 2. f. Ilusión de los sentidos o figuración vana de la inteligencia, desprovista de todo fundamento.
fantasmagórico	ca 1. adj. Perteneciente o relativo a la fantasmagoría.
fantasmal	1. adj. Perteneciente o relativo al fantasma (‖ visión quimérica de los sueños).
fantasmático	ca De fantasma. 1. adj. Psicol. Dicho de una representación mental imaginaria: Provocada por el deseo o el temor.
fantasmón	na De fantasma. 1. adj. coloq. Que presume de algo, normalmente exagerando o mintiendo. U. t. c. s. 2. m. Persona disfrazada que sale por la noche para asustar a la gente.
fantasía	Del lat. phantasĭa, y este del gr. φαντασία phantasía. 1. f. Facultad que tiene el ánimo de reproducir por medio de imágenes las cosas pasadas o lejanas, de representar las ideales en forma sensible o de idealizar las reales. 2. f. Imagen formada por la fantasía. U. m. en pl. 3. f. fantasmagoría (‖ ilusión de los sentidos). 4. f. Grado superior de la imaginación; la imaginación en cuanto inventa o produce. 5. f. Ficción, cuento, novela o pensamiento elevado e ingenioso. Las fantasías de los poetas, de los músicos y de los pintores. 6. f. Mús. Composición instrumental de forma libre o formada sobre motivos de una ópera. 7. f. coloq. desus. Presunción, arrogancia o gravedad afectada. 8. f. pl. desus. Cuentas de perlas que están pegadas unas con otras con algún género de división por medio. de fantasía 1. loc. adj. Dicho de una prenda de vestir o de un adorno: Que no es de forma o gusto corrientes. 2. loc. adj. Dicho de un objeto de adorno personal: Que no es de material noble o valioso. 3. loc. adj. Dicho de una joya: De imitación. punto de fantasía
fante	1. adj. Dicho de una persona: De un pueblo africano que habita en Ghana y zonas de Costa de Marfil. U. t. c. s. 2. adj. Perteneciente o relativo a los fantes. 3. adj. Perteneciente o relativo al fante (‖ lengua). Léxico fante. 4. m. Lengua africana que hablan los fantes.
fantesioso	sa 1. adj. vulg. fantasioso.
fantochada	1. f. Acción propia de un fantoche.
fantoche	Del fr. fantoche. 1. m. Persona grotesca y desdeñable. 2. m. Sujeto neciamente presumido. 3. m. Persona vestida o maquillada de forma estrafalaria. 4. m. Muñeco grotesco frecuentemente movido por medio de hilos.
fantásticamente	1. adv. De manera fantástica. El cuentista parte de un hecho real y lo elabora fantásticamente. Baila fantásticamente.
fantástico	ca Del lat. tardío phantastĭcus, y este del gr. φανταστικός phantastikós. 1. adj. Quimérico, fingido, que no tiene realidad y consiste solo en la imaginación. 2. adj. Perteneciente o relativo a la fantasía. 3. adj. Presuntuoso y entonado. 4. adj. coloq. Magnífico, excelente.
fanzine	Del ingl. amer. fanzine, y este acrón. de fan magazine; literalmente 'revista para fanes'. 1. m. Revista de escasa tirada y distribución, hecha con pocos medios por aficionados a temas como el cómic, la ciencia ficción, el cine, la música pop, etc.
fanáticamente	1. adv. Con fanatismo.
fanático	ca Del lat. fanatĭcus. 1. adj. Que actúa con fanatismo. Apl. a pers., u. t. c. s. 2. adj. Preocupado o entusiasmado exageradamente por algo. Apl. a pers., u. t. c. s. Es un fanático de la música. 3. adj. Propio de una persona fanática. Actitud fanática.
fané	Del lunfardo fané, y este del fr. fané 'marchito', 'demacrado'. 1. adj. coloq. Dicho de una persona: Cansada o desmejorada. Volvió solo y fané. 2. adj. coloq. Estropeado, deslucido, pasado de moda. Una decoración un tanto fané.
faquir	Del ár. clás. faqīr 'pobre', 'místico mendigo'. 1. m. Santón musulmán. 2. m. En la India, asceta que practica duros ejercicios de mortificación. 3. m. y f. Artista de circo que hace exhibición de determinado tipo de mortificaciones.
faquí	1. m. alfaquí.
faquín	Del fr. faquin. 1. m. Ganapán, esportillero, mozo de cuerda.
far	Del lat. facĕre. 1. tr. desus. hacer.
fara	1. f. Culebra africana de un metro de longitud aproximadamente, de color gris con manchas negras y una raya también negra, y de escamas aquilladas a todo lo largo del dorso.
farabusteador	De filibustero, por cruce con salteador. 1. m. germ. Ladrón diligente.
farabustear	Cf. farabusteador. 1. tr. germ. buscar (‖ hurtar rateramente).
faracho	1. m. Pan. soponcio^1.
farad	De M. Faraday, 1791-1867, químico y físico inglés. 1. m. Fís. faradio.
faradio	De farad. 1. m. Fís. Unidad de capacidad eléctrica del sistema internacional, equivalente a la capacidad de un condensador eléctrico que, al ser cargado con una cantidad de electricidad de 1 culombio, adquiere una diferencia de potencial de 1 voltio. (Símb. F).
faragua	1. m. Pan. Hierba que sirve de pasto al ganado.
faragual	1. m. Pan. Terreno poblado de faragua.
faralao	1. m. Ven. faralá.
faralla	1. f. Cuba. farallón (‖ roca alta).
farallo	De or. inc. 1. m. Sal. Migaja de pan.
farallón	Etim. disc. 1. m. Roca alta y tajada que sobresale en el mar y alguna vez en tierra firme. 2. m. crestón (‖ parte de un filón que sobresale del terreno).
faralá	De farfalá. 1. m. Volante compuesto de una tira de tafetán u otra tela y que, plegado y cosido por la parte superior y suelto o al aire por la inferior, rodea las faldas, vestidos y enaguas femeninos, especialmente en algunos trajes regionales. U. m. en pl. 2. m. Adorno de cortinas y tapetes puesto en la misma disposición que el faralá de una prenda. U. m. en pl. 3. m. coloq. Adorno excesivo y de mal gusto. U. m. en pl.
faramalla	Del ant. farmalio 'engaño', y este del b. lat. hisp. malfarium 'crimen'; cf. fario. 1. f. coloq. Charla artificiosa encaminada a engañar. 2. f. coloq. farfolla (‖ cosa de mucha apariencia y poca entidad). 3. m. y f. coloq. Persona faramallera. U. t. c. adj.
faramallero	ra De faramalla. 1. adj. coloq. Hablador, trapacero. U. t. c. s. 2. adj. Ven. presuntuoso (‖ lleno de presunción).
faramallón	na De faramalla. 1. adj. coloq. Hablador, trapacero. U. t. c. s.
farandola^1	1. f. faralá (‖ volante).
farandola^2	Tb. farándola, p. us. Del fr. farandole, y este del occit. farandoulo. 1. f. Danza de origen provenzal que los bailarines ejecutan colocados en fila y agarrados de la mano. 2. f. Música de la farandola.
farandulear	 De farándula y -ear. 1. intr. coloq. farolear.
farandulero	ra 1. adj. Perteneciente o relativo a la farándula. 2. adj. coloq. charlatán (‖ embaucador). 3. m. y f. coloq. Actor teatral, especialmente de comedias. 4. m. y f. Persona perteneciente al mundo de la farándula (‖ ambiente nocturno).
farandúlico	ca 1. adj. p. us. Perteneciente o relativo a la farándula.
faranga	Cf. haragán. 1. f. Sal. Haraganería, dejadez.
faraute	De haraute, este del fr. héraut, y este del franco *heriald 'funcionario del Ejército'. 1. m. mensajero (‖ hombre que lleva un mensaje). 2. m. En las cortes medievales, oficial de armas superior al persevante e inferior al rey de armas, que ejerció las funciones de mensajero, intérprete y especialista en heráldica. 3. m. desus. intérprete (‖ persona que explica lo dicho en otra lengua). 4. m. coloq. desus. Persona por lo general entrometida y mangoneadora que se atribuye autoridad en un asunto.
faraón	Del lat. tardío Pharăo, -ōnis, este del gr. Φαραώ Pharaṓ, este del hebr. par‘oh, y este del egipcio pr‘' 'casa grande'. 1. m. Cada uno de los antiguos reyes de Egipto anteriores a la conquista de este país por los persas. 2. m. Juego de naipes parecido al monte y a la banca, en el que se empleaban dos barajas.
faraónico	ca 1. adj. Perteneciente o relativo a los faraones. 2. adj. Grandioso, fastuoso.
farda^1	 1. f. alfarda (‖ contribución que pagaban los moros y judíos). 2. f. Contribución por el aprovechamiento de las aguas. pagar farda, o la farda 1. locs. verbs. coloqs. Rendir obsequio o atenciones a alguien por respeto, temor o interés. U. m. con neg. Yo no he de pagar farda.
farda^2	 Etim. disc. 1. f. Bulto o lío de ropa.
farda^3	 Del ár. hisp. *fárḍa, y este del ár. clás. farḍ 'entalladura'. 1. f. Carp. Corte o muesca que se hace en un madero para encajar en él la barbilla de otro.
fardacho	Del ár. hisp. ḥarḍún o ḥarḏún, y este del ár. clás. ḥirḏawn. 1. m. lagarto (‖ reptil).
fardaje	1. m. Conjunto de fardos.
fardar	 De fardo. 1. tr. Surtir y abastecer a alguien, especialmente de ropa y vestidos. U. t. c. prnl. 2. intr. coloq. Esp. Presumir, jactarse, alardear. 3. intr. coloq. Esp. Servir para alardear, por lo vistoso o aparente. Ese coche farda mucho.
farde	 1. m. coloq. Esp. Dicho, hecho o cosa que alguien utiliza para fardar (‖ presumir).
fardel	Del fr. ant. fardel, hoy fardeau. 1. m. Saco o talega que llevan regularmente los pobres, pastores y caminantes para las cosas comestibles u otras de su uso. 2. m. fardo (‖ lío grande de ropa). 3. m. coloq. Persona desaliñada.
fardería	1. f. Conjunto de fardos.
fardo	 Etim. disc. 1. m. Lío grande de ropa u otra cosa, muy apretado, para poder llevarlo de una parte a otra. Se hace regularmente con las mercancías que se han de transportar, cubriéndolas con arpillera o lienzo embreado o encerado, para que no se maltraten. 2. m. Ven. Pedazo de tela de henequén o de lienzo grueso.
fardón	na De fardar y -ón^1. 1. adj. coloq. Esp. Dicho de una persona: Que habitualmente alardea de algo. U. m. c. s. 2. adj. coloq. Esp. Aparente, llamativo, vistoso. Ese vestido es muy fardón.
farellón	1. m. farallón.
farero	ra 1. m. y f. Empleado o vigilante de un faro.
farfalloso	sa De farfulla. 1. adj. Ar. Tartamudo o tartajoso.
farfallón	na 1. adj. coloq. Farfullero, chapucero. U. t. c. s.
farfalá	De falbalá. 1. m. faralá.
farfante	Quizá del ár. hisp. *farfál o *farfár, y este der. del ár. clás. farfara 'romper, desgarrar'. 1. adj. desus. farfantón. U. t. c. s.
farfantonada	1. f. coloq. Hecho o dicho propios del farfantón.
farfantonería	1. f. coloq. farfantonada.
farfantón	na De farfante y -ón^1. 1. adj. coloq. p. us. Dicho de una persona: Habladora y jactanciosa. U. t. c. s.
farfolla	Del dialect. marfolla, y este del lat. malum folium 'mala hoja'. 1. f. Espata o envoltura de las panojas del maíz, mijo y panizo. 2. f. Cosa de mucha apariencia y de poca entidad.
farfulla	 De la onomat. farf. 1. f. coloq. Defecto de quien habla deprisa y balbuciendo. 2. m. y f. coloq. Persona que farfulla. U. t. c. adj.
farfullador	ra 1. adj. coloq. Que farfulla. U. t. c. s.
farfullar	 De farfulla. 1. tr. coloq. Hablar muy deprisa y atropelladamente. 2. tr. coloq. Hacer algo con tropelía y confusión.
farfullero	ra 1. adj. coloq. farfullador. U. t. c. s.
farfán	Quizá del ár. hisp. *farfál o *farfár, y este del ár. clás. farfara 'romper, desgarrar'. 1. m. En Marruecos, cada uno de los individuos de ciertas familias españolas que, según parece, vivieron allí en el siglo VIII, conservaron la fe cristiana, y cuyos descendientes regresaron a Castilla el año 1390.
fargallón	na 1. adj. Desaliñado y descuidado en el aseo. U. t. c. s. 2. adj. coloq. Que hace las cosas atropelladamente. U. t. c. s.
faria	De Farias®, marca reg. 1. m. Cigarro barato peninsular de tripa de hebra larga. U. t. c. f.
farillón	1. m. farallón.
farina	Del lat. farīna. 1. f. desus. harina.
farinato	De farina. 1. m. Sal. Embutido de pan amasado con manteca de cerdo, sal y pimienta.
farinetas	De farina. 1. f. pl. Ar. Gachas de harina de maíz.
faringe	Del gr. φάρυγξ, -υγγος phárynx, -yngos. 1. f. Porción ensanchada del tubo digestivo de muchos animales, de paredes generalmente musculosas y situada a continuación de la boca, y que en el hombre y en los demás mamíferos tiene varias aberturas, por las que comunica con las fosas nasales, la trompa de Eustaquio, la laringe y el esófago.
faringitis	De faringe e -itis. 1. f. Med. Inflamación de la faringe.
farináceo	a Del lat. farinaceus. 1. adj. De la naturaleza de la harina, o parecido a ella.
fario	Quizá del b. lat. hisp. malfarium 'crimen', y este cruce del lat. maleficium 'maleficio' y nefarium 'crimen nefando'. 1. m. Suerte, fortuna, sino. Buen, mal fario.
farisaicamente	1. adv. hipócritamente.
farisaico	ca Del lat. tardío Pharisaĭcus. 1. adj. Propio o característico de los fariseos. 2. adj. hipócrita. escándalo farisaico
farisaísmo	1. m. fariseísmo (‖ secta).
fariseo	a Del lat. tardío Pharisaeus, este del gr. Φαρισαῖος Pharisaîos, este del arameo pĕrīšayyā, y este del hebr. pĕrūšīm 'separados [de los demás]'. 1. adj. Seguidor de una secta judaica que aparentaba rigor y austeridad, pero eludía los preceptos de la ley y, sobre todo, su espíritu. Apl. a pers., u. t. c. s. 2. adj. Perteneciente o relativo a la secta de los fariseos o a sus miembros. 3. adj. hipócrita. Apl. a pers., u. t. c. s. 4. m. coloq. desus. Hombre injusto, cruel, inhumano.
fariseísmo	1. m. Secta de los fariseos. 2. m. Actitud hipócrita.
fariña	 Del gall. fariña 'harina'. 1. f. Arg., Col., Par., Perú y Ur. Harina gruesa de mandioca. 2. f. pl. rur. Ast. Especie de gachas hechas con harina de maíz.
fariñera	1. f. rur. Arg. y Ur. Daga de punta y hoja anchas.
fariño	ña  De fariña. 1. adj. Sal. Dicho de una tierra: De ínfima calidad.
farmaceuta	Acort. 1. m. y f. Col., Ec., Guat., Pan., R. Dom. y Ven. farmacéutico.
farmacia	Del fr. ant. farmacie, y este del gr. φαρμακεία pharmakeía 'uso de medicinas'. 1. f. Ciencia que enseña a preparar y combinar productos naturales o artificiales como remedios de las enfermedades, o para conservar la salud. 2. f. Profesión de la farmacia. 3. f. Laboratorio y despacho del farmacéutico. farmacia piloto 1. f. Cuba. farmacia de guardia.
farmacocinético	ca  De fármaco y cinético. 1. adj. Med. Perteneciente o relativo a la farmacocinética. 2. f. Med. Estudio de la absorción, distribución, transformación y eliminación de un medicamento en un organismo.
farmacodependencia	1. f. Adicción a los medicamentos o a las drogas.
farmacodependiente	1. adj. Dicho de una persona: Que padece farmacodependencia. U. t. c. s.
farmacognosia	1. f. Med. Estudio del origen, estructura y propiedades físicas y químicas de los medicamentos.
farmacología	De fármaco y -logía. 1. f. Parte de la medicina que trata de los medicamentos.
farmacológico	ca 1. adj. Perteneciente o relativo a la farmacología.
